epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2675.12,0.76903,0.55694,1.13343,0.87547,0.81629,0.87784,0.64673,1.13619,0.78568,1.50761,0.000269475,0.000269475,0.000269475
43,2738.29,0.79147,0.5908,1.13599,0.87114,0.83778,0.87833,0.65158,1.12457,0.78556,1.46457,0.000255731,0.000255731,0.000255731
44,2800.75,0.75889,0.56821,1.07564,0.89747,0.87351,0.9141,0.62748,1.14723,0.78546,1.48335,0.000241986,0.000241986,0.000241986
45,2863.89,0.75672,0.54737,1.1218,0.88336,0.87394,0.92323,0.65806,1.14334,0.76321,1.45378,0.000228242,0.000228242,0.000228242
46,2927.42,0.72565,0.52464,1.10744,0.90074,0.88672,0.92216,0.67615,1.11854,0.75365,1.43093,0.000214497,0.000214497,0.000214497
47,2991.04,0.74736,0.52638,1.09199,0.8697,0.85442,0.92099,0.66576,1.11388,0.74532,1.41525,0.000200753,0.000200753,0.000200753
48,3054.35,0.7733,0.5592,1.12948,0.82259,0.9318,0.92653,0.66346,1.07875,0.76916,1.38756,0.000187008,0.000187008,0.000187008
49,3114.31,0.66203,0.5001,1.07092,0.92525,0.88013,0.95571,0.68308,1.06876,0.70917,1.3807,0.000173264,0.000173264,0.000173264
50,3175.08,0.66329,0.50558,1.07764,0.89325,0.91266,0.96808,0.69238,1.06025,0.68302,1.38605,0.00015952,0.00015952,0.00015952
51,3235.75,0.53611,0.45863,0.98599,0.80283,0.96448,0.97427,0.71318,1.04987,0.68234,1.39558,0.000145775,0.000145775,0.000145775
52,3296.12,0.55766,0.42621,0.9611,0.83546,0.93795,0.98052,0.71991,1.04231,0.72349,1.38576,0.000132031,0.000132031,0.000132031
53,3355.77,0.47655,0.37188,0.95301,0.86659,0.9298,0.97635,0.70233,1.02616,0.74519,1.37507,0.000118286,0.000118286,0.000118286
54,3415.45,0.51748,0.40353,0.96399,0.88898,0.91351,0.9785,0.71579,1.02875,0.69943,1.39067,0.000104542,0.000104542,0.000104542
55,3475.66,0.49454,0.39501,0.97527,0.89517,0.8896,0.97225,0.71757,1.01301,0.65835,1.36876,9.0797e-05,9.0797e-05,9.0797e-05
56,3537.14,0.495,0.37925,0.97263,0.93354,0.84872,0.95146,0.74227,1.00314,0.6373,1.36245,7.70525e-05,7.70525e-05,7.70525e-05
57,3598.85,0.4917,0.35809,0.96853,0.91707,0.84515,0.95062,0.72597,0.98762,0.62475,1.33918,6.3308e-05,6.3308e-05,6.3308e-05
58,3660.33,0.48035,0.37057,0.97106,0.88003,0.90108,0.96504,0.73382,0.98863,0.60579,1.34378,4.95635e-05,4.95635e-05,4.95635e-05
59,3720.45,0.44125,0.32645,0.93756,0.92143,0.86237,0.95612,0.72865,0.9984,0.59979,1.36606,3.5819e-05,3.5819e-05,3.5819e-05
60,3778.77,0.48107,0.36364,0.96729,0.92302,0.86039,0.96504,0.7361,1.00239,0.60458,1.37841,2.20745e-05,2.20745e-05,2.20745e-05
